Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 37, 37, 1, 1, 32, 128, 0, 252201, 252201, 246801, 61920, 0, 97.859, 24.552, 0.000,0,0,0,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 11, 1, 1, 32, 128, 0, 807426, 807426, 247643, 789984, 0, 30.671, 97.840, 0.000,-2.201518,0,0,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 10, 1, 1, 32, 128, 0, 955173, 955173, 247026, 937872, 0, 25.862, 98.189, 0.000,-2.787348,0,1,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 10, 1, 1, 32, 128, 0, 955173, 955173, 247026, 937872, 0, 25.862, 98.189, 0.000,-2.787348,0,2,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 10, 1, 1, 32, 128, 0, 955173, 955173, 247026, 937872, 0, 25.862, 98.189, 0.000,-2.787348,0,3,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 10, 1, 1, 32, 128, 0, 955173, 955173, 247026, 937872, 0, 25.862, 98.189, 0.000,-2.787348,0,4,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 9, 1, 1, 32, 128, 0, 511921, 511921, 248439, 494208, 0, 48.531, 96.540, 0.000,-1.029814,0,5,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 9, 1, 1, 32, 128, 0, 511921, 511921, 248439, 494208, 0, 48.531, 96.540, 0.000,-1.029814,0,6,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 8, 1, 1, 32, 128, 0, 585819, 585819, 247374, 568152, 0, 42.227, 96.984, 0.000,-1.322826,0,7,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 7, 1, 1, 32, 128, 0, 659598, 659598, 245961, 642096, 0, 37.290, 97.347, 0.000,-1.615366,0,8,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 6, 1, 1, 32, 128, 0, 733503, 733503, 247287, 716040, 0, 33.713, 97.619, 0.000,-1.908406,0,9,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 6, 1, 1, 32, 128, 0, 733503, 733503, 247287, 716040, 0, 33.713, 97.619, 0.000,-1.908406,0,10,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 5, 1, 1, 32, 128, 0, 881226, 881226, 245655, 863928, 0, 27.877, 98.037, 0.000,-2.494142,0,11,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 4, 1, 1, 32, 128, 0, 1103019, 1103019, 247287, 1085760, 0, 22.419, 98.435, 0.000,-3.373571,0,12,0,
