Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 45, 45, 1, 1, 32, 128, 0, 1994948, 1994948, 1660856, 651847, 308661, 83.253, 32.675, 15.472,0,0,0,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 91, 8, 1, 1, 32, 128, 0, 1956789, 1956789, 1649945, 798945, 292337, 84.319, 40.829, 14.940,1.912782,0,0,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 91, 7, 1, 1, 32, 128, 0, 1938637, 1938637, 1633815, 829913, 289552, 84.276, 42.809, 14.936,2.822680,0,1,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 6, 1, 1, 32, 128, 0, 1945545, 1945545, 1635869, 876365, 290110, 84.083, 45.045, 14.912,2.476405,0,2,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 7, 1, 1, 32, 128, 0, 1941636, 1941636, 1635804, 829913, 290566, 84.249, 42.743, 14.965,2.672350,0,3,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 6, 1, 1, 32, 128, 0, 1945545, 1945545, 1635869, 876365, 290110, 84.083, 45.045, 14.912,2.476405,0,4,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 5, 1, 1, 32, 128, 0, 1936885, 1936885, 1636813, 922817, 286554, 84.507, 47.644, 14.795,2.910502,0,5,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 4, 1, 1, 32, 128, 0, 1981626, 1981626, 1647300, 1015721, 290539, 83.129, 51.257, 14.662,0.667787,0,6,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 3, 1, 1, 32, 128, 0, 2011232, 2011232, 1616056, 1155077, 287611, 80.352, 57.431, 14.300,-0.008163,0,7,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 2, 1, 1, 32, 128, 0, 2100857, 2100857, 1579987, 1433789, 265989, 75.207, 68.248, 12.661,-0.053089,0,8,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,9,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,10,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,11,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,12,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,13,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,14,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,15,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,16,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,17,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,18,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,19,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,20,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,21,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,22,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 90, 1, 1, 1, 32, 128, 0, 2535580, 2535580, 1570580, 2269925, 286799, 61.942, 89.523, 11.311,-0.271001,0,23,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 89, 1, 1, 1, 32, 128, 0, 2523427, 2523427, 1570325, 2269925, 286745, 62.230, 89.954, 11.363,-0.264909,0,24,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 89, 1, 1, 1, 32, 128, 0, 2523427, 2523427, 1570325, 2269925, 286745, 62.230, 89.954, 11.363,-0.264909,0,25,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 89, 1, 1, 1, 32, 128, 0, 2523427, 2523427, 1570325, 2269925, 286745, 62.230, 89.954, 11.363,-0.264909,0,26,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 89, 1, 1, 1, 32, 128, 0, 2523427, 2523427, 1570325, 2269925, 286745, 62.230, 89.954, 11.363,-0.264909,0,27,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 89, 1, 1, 1, 32, 128, 0, 2523427, 2523427, 1570325, 2269925, 286745, 62.230, 89.954, 11.363,-0.264909,0,28,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 89, 1, 1, 1, 32, 128, 0, 2523427, 2523427, 1570325, 2269925, 286745, 62.230, 89.954, 11.363,-0.264909,0,29,0,
Conv1, 224, 224, 7, 7, 3, 64, 2, 2, 89, 1, 1, 1, 32, 128, 0, 2523427, 2523427, 1570325, 2269925, 286745, 62.230, 89.954, 11.363,-0.264909,0,30,0,
