Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 6, 22, 1, 1, 32, 128, 0, 251895, 251895, 247287, 135864, 0, 98.171, 53.937, 0.000,0.121332,3,10,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 7, 22, 1, 1, 32, 128, 0, 249541, 249541, 246757, 118800, 0, 98.884, 47.607, 0.000,1.054714,3,11,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 7, 23, 1, 1, 32, 128, 0, 249526, 249526, 246487, 118800, 0, 98.782, 47.610, 0.000,1.060662,3,12,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 6, 23, 1, 1, 32, 128, 0, 251330, 251330, 246426, 135864, 0, 98.049, 54.058, 0.000,0.345359,3,13,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 5, 22, 1, 1, 32, 128, 0, 252861, 252861, 247026, 152928, 0, 97.692, 60.479, 0.000,-0.002617,3,14,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 4, 22, 1, 1, 32, 128, 0, 251739, 251739, 247026, 169992, 0, 98.128, 67.527, 0.000,0.183187,3,15,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 3, 22, 1, 1, 32, 128, 0, 256764, 256764, 247287, 204120, 0, 96.309, 79.497, 0.000,-0.018093,3,16,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 23, 1, 1, 32, 128, 0, 291580, 291580, 246691, 272376, 0, 84.605, 93.414, 0.000,-0.156141,3,17,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 23, 1, 1, 32, 128, 0, 512223, 512223, 247523, 494208, 0, 48.323, 96.483, 0.000,-1.031011,3,18,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 23, 1, 1, 32, 128, 0, 512223, 512223, 247523, 494208, 0, 48.323, 96.483, 0.000,-1.031011,3,19,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 2, 22, 1, 1, 32, 128, 0, 291451, 291451, 246933, 272376, 0, 84.725, 93.455, 0.000,-0.155630,3,20,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 22, 1, 1, 32, 128, 0, 512221, 512221, 247314, 494208, 0, 48.283, 96.483, 0.000,-1.031003,3,21,0,
Conv1, 28, 56, 3, 3, 128, 128, 1, 1, 1, 22, 1, 1, 32, 128, 0, 512221, 512221, 247314, 494208, 0, 48.283, 96.483, 0.000,-1.031003,3,22,0,
