Name, H, W, R, S, C, M, Sx, Sy, E_size, F_size, R_size, S_size, C_size, M_size, Start time, Finish time, Total cycles, Load Cycles, GEMM Cycles, Store Cycles, Load Util%, GEMM Util%, Store Util%, Reward, Episode, Step, Overflow_count
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,46,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,47,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,48,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,49,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,50,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,51,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,52,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,53,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,54,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 57, 1, 1, 32, 128, 0, 10511334, 10511334, 5309770, 5407268, 3348142, 50.515, 51.442, 31.853,-0.167758,5,55,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 57, 1, 1, 32, 128, 0, 10511334, 10511334, 5309770, 5407268, 3348142, 50.515, 51.442, 31.853,-0.167758,5,56,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 57, 1, 1, 32, 128, 0, 10511334, 10511334, 5309770, 5407268, 3348142, 50.515, 51.442, 31.853,-0.167758,5,57,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 57, 1, 1, 32, 128, 0, 10511334, 10511334, 5309770, 5407268, 3348142, 50.515, 51.442, 31.853,-0.167758,5,58,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,59,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 57, 1, 1, 32, 128, 0, 10511334, 10511334, 5309770, 5407268, 3348142, 50.515, 51.442, 31.853,-0.167758,5,60,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,61,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,62,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,63,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,64,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,65,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,66,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,67,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,68,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 57, 1, 1, 32, 128, 0, 10511334, 10511334, 5309770, 5407268, 3348142, 50.515, 51.442, 31.853,-0.167758,5,69,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 57, 1, 1, 32, 128, 0, 10511334, 10511334, 5309770, 5407268, 3348142, 50.515, 51.442, 31.853,-0.167758,5,70,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,71,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,72,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,73,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,74,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,75,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 57, 1, 1, 32, 128, 0, 13734564, 13734564, 5307776, 9326536, 3331855, 38.645, 67.906, 24.259,-0.525843,5,76,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 58, 1, 1, 32, 128, 0, 13732454, 13732454, 5301919, 9326536, 3333686, 38.609, 67.916, 24.276,-0.525609,5,77,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 58, 1, 1, 32, 128, 0, 13732454, 13732454, 5301919, 9326536, 3333686, 38.609, 67.916, 24.276,-0.525609,5,78,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 58, 1, 1, 32, 128, 0, 13732454, 13732454, 5301919, 9326536, 3333686, 38.609, 67.916, 24.276,-0.525609,5,79,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 59, 1, 1, 32, 128, 0, 13746438, 13746438, 5310330, 9326536, 3341081, 38.631, 67.847, 24.305,-0.527162,5,80,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 58, 1, 1, 32, 128, 0, 13732454, 13732454, 5301919, 9326536, 3333686, 38.609, 67.916, 24.276,-0.525609,5,81,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 59, 1, 1, 32, 128, 0, 13746438, 13746438, 5310330, 9326536, 3341081, 38.631, 67.847, 24.305,-0.527162,5,82,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 59, 1, 1, 32, 128, 0, 13746438, 13746438, 5310330, 9326536, 3341081, 38.631, 67.847, 24.305,-0.527162,5,83,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 59, 1, 1, 32, 128, 0, 10518555, 10518555, 5311710, 5407268, 3352148, 50.498, 51.407, 31.869,-0.168560,5,84,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 59, 1, 1, 32, 128, 0, 10518555, 10518555, 5311710, 5407268, 3352148, 50.498, 51.407, 31.869,-0.168560,5,85,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 2, 59, 1, 1, 32, 128, 0, 10518555, 10518555, 5311710, 5407268, 3352148, 50.498, 51.407, 31.869,-0.168560,5,86,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 59, 1, 1, 32, 128, 0, 13746438, 13746438, 5310330, 9326536, 3341081, 38.631, 67.847, 24.305,-0.527162,5,87,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 59, 1, 1, 32, 128, 0, 13746438, 13746438, 5310330, 9326536, 3341081, 38.631, 67.847, 24.305,-0.527162,5,88,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 59, 1, 1, 32, 128, 0, 13746438, 13746438, 5310330, 9326536, 3341081, 38.631, 67.847, 24.305,-0.527162,5,89,130,
Conv1, 128, 64, 5, 5, 256, 128, 1, 1, 1, 59, 1, 1, 32, 128, 0, 13746438, 13746438, 5310330, 9326536, 3341081, 38.631, 67.847, 24.305,-0.527162,5,90,130,
